product_name,shelf_price_ugx_vat_inclusive
Router Mini,301000
Roof Rack Mount | Standard 4 or 4 X,451000
Standard 4 or 4 X to Standard Actuated Mount Adapter,226000
"X-Frame Base | Standard 4 or 4 X, Enterprise",377000
Ridgeline Mount | Standard 4 or 4 X,1881000
Router 3 Mount,226000
Mobility Mount | Standard 4 or 4 X,226000
Power Supply Mount | Standard 4 X,151000
"Pivot Mount | Standard 4 and 4 X, Enterprise",377000
Wall Mount | Standard 4 or 4 X,377000
Pipe Adapter | Standard 4 or 4 X,226000
"Router 3 | Starlink V4 or V5, Mini",827000
Travel Kit | Mini,301000
Car Adapter | Mini,301000
Starlink Mini USB-C Cable 5m,151000
Mobility Mount | Mini,226000
Roof Rack Mount | Mini,226000
Starlink Mini Ethernet Cable 15m,151000
Pivot Mount | Mini,377000
Wall Mount | Mini,301000
